FragmentFlowID,FragmentID,Name,FragmentStageID,ReferenceFlowPropertyUUID,NodeTypeID,FlowUUID,DirectionID,Quantity,ParentFragmentFlowID
"108","2","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","6.141327e-02","90"
"109","2","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","2a30cb5a-3ed0-4832-b610-bb822586b643","1","9.485431e+01","90"
"110","2","Natural Gas Supply Mixer","","93a60a56-a3c8-11da-a746-0800200b9a66","1","56737d34-86ba-4f50-8af1-9fe16dfbac66","1","3.333333e-01",""
"111","3","disposal, hazardous waste, 0% water, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","1","96b681bd-8dd1-40fd-980e-30b149c00b5b","2","1","112"
"112","3","Haz Waste Landfill Output","","93a60a56-a3c8-11da-a746-0800200b9a66","1","7fc23808-1719-472b-80ac-843e2478996c","2","1",""
"113","3","Waste to Disposal","","59dde9ea-d20b-4214-addc-0d03853aad53","3","13a4a21a-ecee-4af1-bd30-c6bf2703ab27","2","1","112"
"114","4","disposal, used mineral oil, 10% water, to hazardous waste incineration + HALOGENS FROM HAZ WASTE","","93a60a56-a3c8-11da-a746-0800200b9a66","1","da4b2bb0-6e68-4d98-a19e-a0a4a7b9e583","2","1","130"
"115","4","calcium chloride, CaCl2, at regional storage","","93a60a56-a3c8-11da-a746-0800200b9a66","1","a93919e3-2e1a-49cf-92d1-d29dbb212735","2","2.600700e-03","114"
"116","4","cement, unspecified, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","80859da4-0b79-4fda-9ec0-3470bcc95eb7","2","4.570500e-03","114"
"117","4","disposal, cement, hydrated, 0% water, to residual material landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","1","f155362d-634b-4d9a-8b8d-3d0e977c8e02","2","1.142600e-02","114"
"118","4","CH: hazardous waste incineration plant","","01846770-4cfe-4a25-8ad9-919d8d378345","3","98ae4544-d5e3-4060-a3aa-63642ddbd231","1","1.250000e-09","114"
"119","4","iron (III) chloride, 40% in H2O, at plant","","93a60a56-a3c8-11da-a746-0800200b9a66","1","48ee411f-7101-4152-b737-75ed47185637","2","5.683700e-04","114"
"120","4","CH: process-specific burdens, hazardous waste incineration plant","","93a60a56-a3c8-11da-a746-0800200b9a66","3","3bd47516-a122-44d5-9879-03d875893ac5","1","1","114"
