FragmentNodeID,FragmentID,Name,FragmentStageID,ReferencePropertyUUID,NodeTypeID,Origin,FlowUUID,DirectionID,Quantity,Terminus
"71","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","61","2d2e7120-4341-47bf-a987-c57137f7a640","1","2.904225e-06",""
"72","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","61","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","2.760585e-07",""
"73","1","Electricity US LCI: Biomass","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","45d82417-c241-4614-b7bf-020afd3cc091","2","1.388226e-02","73"
"74","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","73","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","6.289304e-12",""
"75","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","73","6133d060-4e09-4985-85a0-b87333f2e8b4","1","1.496566e-07",""
"76","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","73","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","0",""
"77","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","73","4d78344e-78af-4e18-a146-e88cc0b2934b","1","6.066542e-06",""
"78","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","73","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","1.097773e-06",""
"79","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","73","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","1.669856e-04",""
"80","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","73","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.523155e-07",""
"81","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","73","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","2.346652e-05",""
"82","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","73","2a30cb5a-3ed0-4832-b610-bb822586b643","1","1.358611e-01",""
"83","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","73","2d2e7120-4341-47bf-a987-c57137f7a640","1","2.820237e-08",""
"84","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","73","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","2.680750e-09",""
"85","1","Electricity, at grid","","93a60a56-a3c8-11da-a746-0800200c9a66","1","","890a70b7-b677-4e2a-8a1b-7d017e0a10ae","1","1","85"
"86","2","Natural gas mix","","93a60a56-a3c8-11da-a746-0800200b9a66","1","110","cb17f5de-656d-4817-aa77-90c13bef5104","2","1","86"
"87","2","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","86","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.965078e-02",""
"88","2","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","86","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.867416e-03",""
