FlowID,Name,CASNumber,FlowTypeID,ReferenceFlowPropertyID
566,"butene",025167-67-3    ,2,23
567,"butene",025167-67-3    ,2,23
568,"cerium-141",013967-74-3    ,2,27
569,"cerium-144",014762-78-8    ,2,27
570,"cesium",007440-46-2    ,2,23
571,"cesium",007440-46-2    ,2,23
572,"cesium-134",013967-70-9    ,2,27
573,"cesium-134",013967-70-9    ,2,27
574,"cesium-134",013967-70-9    ,2,27
575,"cesium-136",014234-29-8    ,2,27
576,"cesium-137",010045-97-3    ,2,27
577,"cesium-137",010045-97-3    ,2,27
578,"cesium-137",010045-97-3    ,2,27
579,"chlorate",014866-68-3    ,2,23
580,"chlorine",007782-50-5    ,2,23
581,"chlorine",007782-50-5    ,2,23
582,"chlorine",007782-50-5    ,2,23
583,"toluene",000108-88-3    ,2,23
584,"1,2-dichlorobenzene",000095-50-1    ,2,23
585,"1,2-dichlorobenzene",000095-50-1    ,2,23
586,"biphenyl",000092-52-4    ,2,23
587,"biphenyl",000092-52-4    ,2,23
588,"acetophenone",000098-86-2    ,2,23
589,"chromium VI",018540-29-9    ,2,23
590,"chromium VI",018540-29-9    ,2,23
591,"chromium-51",014392-02-0    ,2,27
592,"chromium-51",014392-02-0    ,2,27
593,"HFC-32",000075-10-5    ,2,23
594,"benzene",000071-43-2    ,2,23
595,"beryllium",007440-41-7    ,2,23
596,"tert-butylamine",000075-64-9    ,2,23
597,"Lactic acid",000050-21-5    ,2,23
598,"Chlorosilane, trimethyl-",000075-77-4    ,2,23
599,"Physicochemical Filtration",               ,2,22
600,"chloroacetic acid",000079-11-8    ,2,23
601,"UO_221 Collected",               ,1,23
602,"Water (waste water, untreated)",               ,1,23
603,"RER: natural gas, burned in industrial furnace low-NOx >100kW",               ,1,24
604,"Diesel",               ,1,23
605,"chloramide",010599-90-3    ,2,23
606,"US: Transport, pipeline, natural gas",               ,1,15
607,"Natural Gas Mix",               ,1,23
608,"WECC: electricity, natural gas, at power plant",               ,1,24
609,"Erosion Resistance",               ,2,34
610,"Transformation, to dump site, benthos",               ,2,28
611,"Formate",               ,2,23
612,"Gasoline (regular, CA)",               ,1,23
613,"Transport, MHD Truck Class 6",               ,1,15
614,"Wood, hard, standing",               ,2,30
615,"UO_Waste Water non hazardous for treatment",               ,1,23
616,"Electricity from hard coal",               ,1,24
617,"UO_Transfer to Evergreen",               ,1,23
