ClassificationID,UUID,CategoryID
"350","041ff934-6556-11dd-ad8b-0800200c9a66","262"
"351","041ff934-6556-11dd-ad8b-0800200c9a66","263"
"352","04202046-6556-11dd-ad8b-0800200c9a66","261"
"353","04202046-6556-11dd-ad8b-0800200c9a66","262"
"354","04202046-6556-11dd-ad8b-0800200c9a66","267"
"355","04202047-6556-11dd-ad8b-0800200c9a66","261"
"356","04202047-6556-11dd-ad8b-0800200c9a66","271"
"357","04202047-6556-11dd-ad8b-0800200c9a66","276"
"358","04202048-6556-11dd-ad8b-0800200c9a66","261"
"359","04202048-6556-11dd-ad8b-0800200c9a66","280"
"360","04202048-6556-11dd-ad8b-0800200c9a66","285"
"361","04202049-6556-11dd-ad8b-0800200c9a66","261"
"362","04202049-6556-11dd-ad8b-0800200c9a66","271"
"363","04202049-6556-11dd-ad8b-0800200c9a66","276"
"364","0420204a-6556-11dd-ad8b-0800200c9a66","261"
"365","0420204a-6556-11dd-ad8b-0800200c9a66","280"
"366","0420204a-6556-11dd-ad8b-0800200c9a66","285"
"367","0d7a3ad3-6556-11dd-ad8b-0800200c9a66","261"
"368","0d7a3ad3-6556-11dd-ad8b-0800200c9a66","262"
"369","0d7a3ad3-6556-11dd-ad8b-0800200c9a66","263"
"370","0d7a88fc-6556-11dd-ad8b-0800200c9a66","261"
"371","0d7a88fc-6556-11dd-ad8b-0800200c9a66","262"
"372","0d7a88fc-6556-11dd-ad8b-0800200c9a66","263"
"373","1729c889-6556-11dd-ad8b-0800200c9a66","261"
"374","1729c889-6556-11dd-ad8b-0800200c9a66","262"
"375","1729c889-6556-11dd-ad8b-0800200c9a66","264"
"376","1729ef88-6556-11dd-ad8b-0800200c9a66","261"
"377","1729ef88-6556-11dd-ad8b-0800200c9a66","271"
"378","1729ef88-6556-11dd-ad8b-0800200c9a66","277"
"379","1729efae-6556-11dd-ad8b-0800200c9a66","261"
"380","1729efae-6556-11dd-ad8b-0800200c9a66","262"
"381","1729efae-6556-11dd-ad8b-0800200c9a66","264"
"382","172a3db9-6556-11dd-ad8b-0800200c9a66","261"
"383","172a3db9-6556-11dd-ad8b-0800200c9a66","271"
"384","172a3db9-6556-11dd-ad8b-0800200c9a66","277"
"385","2d2e7120-4341-47bf-a987-c57137f7a640","390"
"386","85b32f85-0a84-4474-9e55-a7c57a5e3634","390"
"387","172a8bf6-6556-11dd-ad8b-0800200c9a66","261"
"388","172a8bf6-6556-11dd-ad8b-0800200c9a66","262"
"389","172a8bf6-6556-11dd-ad8b-0800200c9a66","264"
"390","172ab2d8-6556-11dd-ad8b-0800200c9a66","261"
"391","172ab2d8-6556-11dd-ad8b-0800200c9a66","262"
"392","172ab2d8-6556-11dd-ad8b-0800200c9a66","264"
"393","172ad9fa-6556-11dd-ad8b-0800200c9a66","261"
"394","172ad9fa-6556-11dd-ad8b-0800200c9a66","262"
"395","172ad9fa-6556-11dd-ad8b-0800200c9a66","263"
"396","172b010c-6556-11dd-ad8b-0800200c9a66","261"
"397","172b010c-6556-11dd-ad8b-0800200c9a66","262"
"398","172b010c-6556-11dd-ad8b-0800200c9a66","263"
"399","172b0119-6556-11dd-ad8b-0800200c9a66","261"
"400","172b0119-6556-11dd-ad8b-0800200c9a66","262"
"401","172b0119-6556-11dd-ad8b-0800200c9a66","263"
"402","172b2805-6556-11dd-ad8b-0800200c9a66","261"
"403","172b2805-6556-11dd-ad8b-0800200c9a66","262"
"404","172b2805-6556-11dd-ad8b-0800200c9a66","263"
"405","1f308816-6556-11dd-ad8b-0800200c9a66","261"
"406","1f308816-6556-11dd-ad8b-0800200c9a66","262"
"407","1f308816-6556-11dd-ad8b-0800200c9a66","263"
"408","1f30fd77-6556-11dd-ad8b-0800200c9a66","261"
"409","1f30fd77-6556-11dd-ad8b-0800200c9a66","262"
"410","1f30fd77-6556-11dd-ad8b-0800200c9a66","264"
"411","1f314b74-6556-11dd-ad8b-0800200c9a66","261"
"412","1f314b74-6556-11dd-ad8b-0800200c9a66","262"
"413","1f314b74-6556-11dd-ad8b-0800200c9a66","263"
"414","1f314b75-6556-11dd-ad8b-0800200c9a66","261"
"415","1f314b75-6556-11dd-ad8b-0800200c9a66","262"
"416","1f314b75-6556-11dd-ad8b-0800200c9a66","264"
"417","29068976-6556-11dd-ad8b-0800200c9a66","261"
"418","29068976-6556-11dd-ad8b-0800200c9a66","262"
"419","29068976-6556-11dd-ad8b-0800200c9a66","264"
"420","2906898f-6556-11dd-ad8b-0800200c9a66","261"
"421","2906898f-6556-11dd-ad8b-0800200c9a66","262"
"422","2906898f-6556-11dd-ad8b-0800200c9a66","264"
"423","3e4d2966-6556-11dd-ad8b-0800200c9a66","261"
"424","3e4d2966-6556-11dd-ad8b-0800200c9a66","262"
"425","3e4d2966-6556-11dd-ad8b-0800200c9a66","265"
"426","3e4d5086-6556-11dd-ad8b-0800200c9a66","261"
"427","3e4d5086-6556-11dd-ad8b-0800200c9a66","262"
